longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,income_cat,rooms_per_household,bedrooms_per_room,population_per_household,ocean_proximity_LESS_THAN_1H_OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR_BAY,ocean_proximity_NEAR_OCEAN,median_house_value
-120.79,36.06,29,1916,386,1019,314,2.4881,2,6.407006369,0.213549061,3.472388535,FALSE,TRUE,FALSE,FALSE,FALSE,87500
-117.07,33.12,32,2474,499,1224,461,2.7216,2,5.634924078,0.213799515,2.840954447,FALSE,TRUE,FALSE,FALSE,FALSE,146300
-118.01,34.55,2,2701,530,1368,430,4.071,3,6.595465116,0.207997038,3.404093023,TRUE,FALSE,FALSE,FALSE,FALSE,137400
-118.4,33.99,39,1613,380,1113,356,2.825,2,4.75744382,0.249721017,3.345252809,FALSE,TRUE,FALSE,FALSE,FALSE,276700
-118.06,34.08,37,778,205,850,198,2.5119,2,4.125757576,0.279305913,4.593434343,FALSE,TRUE,FALSE,FALSE,FALSE,180500
-117.01,32.79,31,3776,815,1886,799,3.4421,3,4.962202753,0.228787076,2.525682103,FALSE,TRUE,FALSE,FALSE,FALSE,155300
-118.11,33.88,35,1623,304,868,272,3.5893,3,6.265257353,0.198545903,3.414558824,FALSE,TRUE,FALSE,FALSE,FALSE,276000
-122.36,40.66,17,2786,559,1528,517,2.0119,2,5.658220503,0.212684853,3.162398453,TRUE,FALSE,FALSE,FALSE,FALSE,75800
-118.21,33.97,52,4220,908,3731,892,3.1901,3,4.967488789,0.228075829,4.475526906,FALSE,TRUE,FALSE,FALSE,FALSE,167600
-118.06,33.86,16,5603,938,3045,893,5.0778,4,6.588073908,0.177454935,3.648544233,FALSE,TRUE,FALSE,FALSE,FALSE,293700
-117.92,33.65,28,1087,423,807,425,0.9702,1,2.685529412,0.4124931,2.031741176,FALSE,TRUE,FALSE,FALSE,FALSE,225400
-118.47,34.1,32,8041,1141,2768,1106,11.1978,5,7.633860759,0.15041164,2.677902351,FALSE,TRUE,FALSE,FALSE,FALSE,500001
-118.03,34.1,31,2647,539,1473,520,3.94,3,5.344903846,0.215844352,3.030980769,TRUE,FALSE,FALSE,FALSE,FALSE,223900
-117.41,33.93,35,793,150,669,128,4.0156,3,6.505078125,0.200504414,5.592421875,TRUE,FALSE,FALSE,FALSE,FALSE,89300
-118.38,33.97,42,1859,337,813,326,6.019,5,5.987576687,0.192157074,2.668435583,FALSE,TRUE,FALSE,FALSE,FALSE,294500
-118.02,33.76,25,1759,404,1404,385,3.6289,3,4.797272727,0.243456509,3.902025974,FALSE,TRUE,FALSE,FALSE,FALSE,195800
-117.05,32.95,17,4814,1091,3013,1078,3.2369,3,4.688961039,0.2402285,2.990640074,FALSE,TRUE,FALSE,FALSE,FALSE,167800
-121.51,38.55,45,3032,631,1341,597,2.8417,2,5.332663317,0.220600264,2.403467337,TRUE,FALSE,FALSE,FALSE,FALSE,137900
-118.07,33.91,29,2387,570,1978,548,3.1957,3,4.573631387,0.253121072,3.862153285,FALSE,TRUE,FALSE,FALSE,FALSE,159200
-117.7,33.6,25,1321,295,396,278,3.1131,3,4.989388489,0.23671461,1.524172662,FALSE,TRUE,FALSE,FALSE,FALSE,77100
-118.14,34.17,52,2667,486,1681,504,4.0524,3,5.55625,0.193160855,3.568789683,FALSE,TRUE,FALSE,FALSE,FALSE,173100
-118.26,34.07,46,2341,703,2371,648,2.4038,2,3.793287037,0.318316959,3.91507716,FALSE,TRUE,FALSE,FALSE,FALSE,181700
-122.07,37.94,43,1454,234,683,258,4.475,3,5.91744186,0.170591472,2.832596899,FALSE,FALSE,FALSE,TRUE,FALSE,265700
-121.65,39.76,31,1599,318,794,303,3,2,5.541089109,0.210806754,2.803894389,TRUE,FALSE,FALSE,FALSE,FALSE,96700
-117.01,32.77,34,3330,723,1592,656,2.6678,2,5.330030488,0.230144144,2.596707317,FALSE,TRUE,FALSE,FALSE,FALSE,164200
-118.35,34.06,52,2837,602,1164,551,3.2411,3,5.406261343,0.224927741,2.260399274,FALSE,TRUE,FALSE,FALSE,FALSE,250000
-117.7,33.5,4,7474,1037,2969,1007,8.7591,5,7.793147964,0.147072518,3.154746773,FALSE,TRUE,FALSE,FALSE,FALSE,434700
-122.08,37.82,4,2045,237,830,252,11.3421,5,8.520833333,0.122845966,3.524206349,FALSE,FALSE,FALSE,TRUE,FALSE,500001
-118.24,33.9,39,642,129,475,123,1.2083,1,5.480487805,0.212990654,4.132113821,FALSE,TRUE,FALSE,FALSE,FALSE,92600
-118.36,34.04,49,995,184,462,194,2.7917,2,5.385309278,0.196020101,2.54814433,FALSE,TRUE,FALSE,FALSE,FALSE,242000
-117.24,32.8,26,3433,873,1492,798,2.9258,2,4.517105263,0.269554326,2.000551378,FALSE,FALSE,FALSE,FALSE,TRUE,234800
-117.14,32.72,43,1073,344,660,279,2.0529,2,4.038172043,0.339832246,2.531182796,FALSE,FALSE,FALSE,FALSE,TRUE,168800
-118.14,34.18,50,1493,326,1000,323,3.3068,3,4.853405573,0.231453449,3.312693498,FALSE,TRUE,FALSE,FALSE,FALSE,154400
-122.63,38.96,17,1708,459,633,312,1.75,2,5.748076923,0.284859485,2.170865385,TRUE,FALSE,FALSE,FALSE,FALSE,64000
-118.96,36.66,18,1302,424,320,133,3.1964,3,10.27894737,0.345192012,2.57443609,TRUE,FALSE,FALSE,FALSE,FALSE,80000
-122.27,37.56,5,4921,1179,1810,1073,5.6936,4,4.815517241,0.253960577,1.804939422,FALSE,FALSE,FALSE,TRUE,FALSE,322200
-118.23,34.15,40,2124,370,998,372,5.3369,4,5.99516129,0.184651601,2.870591398,FALSE,TRUE,FALSE,FALSE,FALSE,370400
-117.89,33.68,8,5278,1575,2389,1371,3.3409,3,4.042231947,0.316312997,1.864500365,FALSE,TRUE,FALSE,FALSE,FALSE,181300
-118.32,33.99,49,1407,269,889,283,1.9779,2,5.220318021,0.202658138,3.361236749,FALSE,TRUE,FALSE,FALSE,FALSE,114200
-118.18,33.77,36,1833,688,1128,620,1.1483,1,3.104274194,0.397861429,1.946709677,FALSE,FALSE,FALSE,FALSE,TRUE,112500
-117.47,33.98,8,12106,1913,5810,1717,4.9886,4,7.403203262,0.167502065,3.620675597,TRUE,FALSE,FALSE,FALSE,FALSE,158100
-122.27,37.32,37,2607,534,1346,507,5.3951,4,5.399112426,0.21712313,2.840670611,FALSE,FALSE,FALSE,FALSE,TRUE,277700
-118.18,33.81,27,471,132,315,96,1.75,2,5.1515625,0.297070064,3.5109375,FALSE,FALSE,FALSE,FALSE,TRUE,154200
-117.09,32.75,28,1220,391,1286,396,1.2286,1,3.234848485,0.339721311,3.47479798,FALSE,FALSE,FALSE,FALSE,TRUE,105000
-121.85,37.38,12,12980,2568,8190,2515,5.2415,4,5.419085487,0.209713405,3.484413519,FALSE,TRUE,FALSE,FALSE,FALSE,286500
-121.32,38.61,22,3902,845,1870,763,2.774,2,5.369724771,0.229548949,2.622411533,TRUE,FALSE,FALSE,FALSE,FALSE,190200
-121.25,37.97,34,1288,344,846,293,1.7895,2,4.615699659,0.28310559,3.089488055,TRUE,FALSE,FALSE,FALSE,FALSE,63100
-117.93,33.84,23,2870,653,1680,598,3.2301,3,5.039297659,0.2411777,3.006020067,FALSE,TRUE,FALSE,FALSE,FALSE,189900
-117.13,34.88,21,3254,669,1548,545,2.3373,2,6.269174312,0.217928703,3.039192661,TRUE,FALSE,FALSE,FALSE,FALSE,57100
-118.14,33.95,36,1942,355,891,348,3.6635,3,5.859482759,0.19376931,2.739568966,FALSE,TRUE,FALSE,FALSE,FALSE,282100
-122.13,36.97,27,991,194,543,155,4.7188,4,6.713225806,0.207507568,3.748451613,FALSE,FALSE,FALSE,FALSE,TRUE,350000
-118.06,34.06,28,2127,625,3160,620,2.5763,2,3.602177419,0.311471556,5.453548387,FALSE,TRUE,FALSE,FALSE,FALSE,173900
-122.27,37.86,52,1769,372,849,365,2.6914,2,5.08890411,0.222905596,2.488849315,FALSE,FALSE,FALSE,TRUE,FALSE,218800
-118.47,34.19,41,1104,196,495,196,5.0929,4,5.914285714,0.188188406,2.702295918,FALSE,TRUE,FALSE,FALSE,FALSE,225000
-121.44,38.71,25,2336,406,1172,408,3.5129,3,6.011764706,0.184229452,3.073627451,TRUE,FALSE,FALSE,FALSE,FALSE,101200
-121.79,37.99,18,3646,534,1651,535,5.7321,4,7.155700935,0.155249589,3.302,TRUE,FALSE,FALSE,FALSE,FALSE,164700
-118.17,34.02,42,946,272,1191,261,2.45,2,3.805747126,0.304778013,4.882643678,FALSE,TRUE,FALSE,FALSE,FALSE,132000
-117.16,32.75,23,2474,594,1107,536,2.9705,2,4.846455224,0.254502829,2.209869403,FALSE,FALSE,FALSE,FALSE,TRUE,245500
-118.29,34.1,39,2196,582,1165,538,2.9417,2,4.285873606,0.280928962,2.317007435,FALSE,TRUE,FALSE,FALSE,FALSE,254200
-122.6,38.11,23,8642,1294,3594,1253,5.3962,4,7.241899441,0.158717889,3.069098164,FALSE,TRUE,FALSE,FALSE,FALSE,301500
-121.99,37.81,17,465,83,146,75,4.9018,4,6.51,0.189204301,2.082933333,FALSE,TRUE,FALSE,FALSE,FALSE,188500
-117.91,33.78,26,4297,1037,3596,967,3.045,3,4.66582213,0.255811031,3.979027921,FALSE,TRUE,FALSE,FALSE,FALSE,184000
-121.21,37.8,45,370,84,167,70,1.4853,1,5.55,0.240648649,2.552714286,TRUE,FALSE,FALSE,FALSE,FALSE,101800
-121.25,38.03,29,2465,327,859,315,6.6605,5,8.216666667,0.140616633,2.917873016,TRUE,FALSE,FALSE,FALSE,FALSE,220700
-118.49,34.05,45,1346,214,415,209,7.0285,5,6.762200957,0.168528975,2.124641148,FALSE,TRUE,FALSE,FALSE,FALSE,500001
-117.67,33.63,9,5774,1320,3086,1265,4.4063,3,4.792648221,0.242327676,2.61029249,FALSE,TRUE,FALSE,FALSE,FALSE,202200
-118,33.67,34,3712,667,1521,632,4.8125,4,6.167088608,0.19046875,2.575110759,FALSE,TRUE,FALSE,FALSE,FALSE,387800
-117.37,33.99,44,917,224,666,220,1.685,2,4.376590909,0.258931298,3.239181818,TRUE,FALSE,FALSE,FALSE,FALSE,114200
-119.79,36.73,52,112,28,193,40,1.975,2,2.94,0.265,5.16275,TRUE,FALSE,FALSE,FALSE,FALSE,47500
-121.29,38.13,20,3168,514,1390,490,5,4,6.788571429,0.171982323,3.035306122,TRUE,FALSE,FALSE,FALSE,FALSE,154800
-118.19,33.83,43,2641,411,1011,444,6.4468,5,6.245608108,0.164960242,2.436418919,FALSE,FALSE,FALSE,FALSE,TRUE,444200
-120.16,34.61,17,921,189,434,219,3.0185,3,4.415753425,0.21752443,2.120456621,FALSE,FALSE,FALSE,FALSE,TRUE,500001
-120.84,37.4,7,2773,530,1374,505,2.6214,2,5.765643564,0.202596466,2.911247525,TRUE,FALSE,FALSE,FALSE,FALSE,103800
-117.18,32.76,17,711,254,327,227,2.6493,2,3.28876652,0.378677918,1.541365639,FALSE,FALSE,FALSE,FALSE,TRUE,67500
-117.08,33.14,19,2629,494,1444,503,3.5462,3,5.487972167,0.199178395,3.071729622,FALSE,TRUE,FALSE,FALSE,FALSE,156800
-122.24,37.85,37,334,54,98,47,4.9643,4,7.461702128,0.171377246,2.23106383,FALSE,FALSE,FALSE,TRUE,FALSE,335000
-124.01,40.89,28,1470,336,811,314,2.4559,2,4.915605096,0.242285714,2.763598726,FALSE,TRUE,FALSE,FALSE,FALSE,75600
-122.96,40.77,29,1637,297,753,270,3.2891,3,6.366111111,0.192315211,2.984111111,TRUE,FALSE,FALSE,FALSE,FALSE,93100
-118.27,33.86,29,2587,489,2115,475,3.7466,3,5.718631579,0.200363355,4.764315789,FALSE,TRUE,FALSE,FALSE,FALSE,168600
-121.91,36.55,39,5468,834,1782,712,5.7248,4,8.063764045,0.161675201,2.678005618,FALSE,FALSE,FALSE,FALSE,TRUE,398800
-121.96,37.71,6,8072,1050,3386,1062,7.2494,5,7.98079096,0.137884044,3.411506591,FALSE,TRUE,FALSE,FALSE,FALSE,336500
-118.18,34.1,8,1116,267,435,235,4.9231,4,4.986382979,0.253602151,1.980638298,FALSE,TRUE,FALSE,FALSE,FALSE,230900
-117.81,33.73,19,5471,1345,2828,1247,3.5719,3,4.606696071,0.260592213,2.42659182,FALSE,TRUE,FALSE,FALSE,FALSE,252800
-118.15,33.77,36,4366,1211,1912,1172,3.5292,3,3.911518771,0.294012826,1.74559727,FALSE,FALSE,FALSE,FALSE,TRUE,361800
-122.23,37.48,38,1578,399,879,388,2.7969,2,4.270360825,0.268022814,2.424046392,FALSE,FALSE,FALSE,FALSE,TRUE,298400
-121.98,38.37,21,3027,675,2018,642,2.8438,2,4.950700935,0.236372646,3.363333333,TRUE,FALSE,FALSE,FALSE,FALSE,111500
-121.7,37.96,33,2396,452,1391,465,3.2813,3,5.410322581,0.199966611,3.200795699,TRUE,FALSE,FALSE,FALSE,FALSE,151400
-117.33,33.67,27,4376,1003,2667,870,1.9194,2,5.28137931,0.242957038,3.280103448,FALSE,TRUE,FALSE,FALSE,FALSE,100600
-122.24,38.01,16,2084,315,1154,307,6.0102,5,7.127687296,0.160220729,4.022084691,FALSE,FALSE,FALSE,TRUE,FALSE,235600
-121.98,37.36,34,1735,318,1019,301,4.5625,4,6.052325581,0.194282421,3.622358804,FALSE,TRUE,FALSE,FALSE,FALSE,242700
-121.47,38.52,26,2177,638,1971,560,1.2575,1,4.081875,0.31064768,3.766017857,TRUE,FALSE,FALSE,FALSE,FALSE,66800
-117.89,33.61,42,1301,280,539,249,5,4,5.486144578,0.228132206,2.316184739,FALSE,TRUE,FALSE,FALSE,FALSE,500001
-117.76,33.79,4,8974,1268,3754,1241,8.2653,5,7.592828364,0.149774905,3.236728445,FALSE,TRUE,FALSE,FALSE,FALSE,374000
-122.41,37.75,52,1892,415,1442,371,4.2891,3,5.354716981,0.232505285,4.158867925,FALSE,FALSE,FALSE,TRUE,FALSE,230000
-118.17,34.04,46,705,167,655,149,3.5938,3,4.968120805,0.251092199,4.703691275,FALSE,TRUE,FALSE,FALSE,FALSE,141100
-119.1,35.33,4,6640,898,3121,902,6.759,5,7.729490022,0.143355422,3.7022949,TRUE,FALSE,FALSE,FALSE,FALSE,170300
-121.6,36.88,21,3416,624,1862,595,4.7813,4,6.028235294,0.193629977,3.348470588,FALSE,TRUE,FALSE,FALSE,FALSE,241500
-119.35,36.21,26,2481,586,1445,498,1.6378,2,5.231024096,0.250366788,3.104718876,TRUE,FALSE,FALSE,FALSE,FALSE,60300
-118.33,34.04,52,2545,401,1004,372,3.6373,3,7.183467742,0.167017682,2.887849462,FALSE,TRUE,FALSE,FALSE,FALSE,420000
-117.95,33.82,35,1117,181,496,168,4.3269,3,6.98125,0.171763653,3.159047619,FALSE,TRUE,FALSE,FALSE,FALSE,224700
-122.15,37.47,38,1560,301,1331,316,3.0521,3,5.183544304,0.204525641,4.506867089,FALSE,FALSE,FALSE,TRUE,FALSE,151500
-121.79,39.48,39,1105,180,408,166,3.3929,3,6.989457831,0.172669683,2.629879518,TRUE,FALSE,FALSE,FALSE,FALSE,82100
-120.44,34.96,34,1248,284,986,272,2.9167,2,4.817647059,0.241217949,3.87875,FALSE,TRUE,FALSE,FALSE,FALSE,104200
-118.39,33.97,44,1097,186,513,185,6.235,5,6.226216216,0.179726527,2.967081081,FALSE,TRUE,FALSE,FALSE,FALSE,361400
-122.42,37.78,52,1254,469,895,456,2.1516,2,2.8875,0.396443381,2.100109649,FALSE,FALSE,FALSE,TRUE,FALSE,187500
-117.2,32.85,22,3501,631,1297,581,4.7891,4,6.327108434,0.191048272,2.388623064,FALSE,FALSE,FALSE,FALSE,TRUE,295300
-117.89,33.82,24,1268,210,700,224,5.0605,4,5.94375,0.17555205,3.34375,FALSE,TRUE,FALSE,FALSE,FALSE,216200
-121.82,39.72,42,2978,694,1879,679,1.5064,2,4.605154639,0.247024849,2.9610162,TRUE,FALSE,FALSE,FALSE,FALSE,66300
-117.84,35.54,11,1751,316,765,296,5.0762,4,6.211317568,0.191296402,2.765371622,TRUE,FALSE,FALSE,FALSE,FALSE,98000
-117.91,33.83,9,1160,368,735,325,1.119,1,3.747692308,0.336275862,2.419846154,FALSE,TRUE,FALSE,FALSE,FALSE,175000
-118.39,34.05,25,2814,701,1139,658,4.0153,3,4.490425532,0.26405828,1.852173252,FALSE,TRUE,FALSE,FALSE,FALSE,460000
-117.08,32.68,19,3635,1078,3127,1098,1.324,1,3.476092896,0.314354883,3.047258652,FALSE,FALSE,FALSE,FALSE,TRUE,122600
-122.05,37.9,32,2676,484,986,473,4.6528,4,5.94038055,0.191718984,2.230486258,FALSE,FALSE,FALSE,TRUE,FALSE,335700
-117.2,34.15,18,1859,251,747,256,7.732,5,7.624804688,0.143119957,3.122226563,TRUE,FALSE,FALSE,FALSE,FALSE,173200
-122.08,37.93,35,4043,689,1832,662,5.0761,4,6.412613293,0.180643087,2.961087613,FALSE,FALSE,FALSE,TRUE,FALSE,233200
-121.38,38.68,35,1643,298,831,305,4.0673,3,5.656229508,0.192258065,2.915311475,TRUE,FALSE,FALSE,FALSE,FALSE,84200
-124.16,40.95,20,1075,214,529,196,3.1406,3,5.758928571,0.211013953,2.887908163,FALSE,FALSE,FALSE,FALSE,TRUE,96000
-124.15,40.59,39,1186,238,539,212,2.0938,2,5.874056604,0.212715008,2.720424528,FALSE,FALSE,FALSE,FALSE,TRUE,79600
-118.43,34.01,41,1527,279,746,285,6.4232,5,5.625789474,0.19367387,2.80077193,FALSE,TRUE,FALSE,FALSE,FALSE,446600
-117.84,34.1,17,7836,1624,4419,1526,3.8465,3,5.391743119,0.219683512,3.098512451,FALSE,TRUE,FALSE,FALSE,FALSE,180700
-123.78,40.05,17,2019,496,899,347,2.1864,2,6.109365994,0.260406142,2.772132565,FALSE,TRUE,FALSE,FALSE,FALSE,101900
-121,37.26,45,1750,371,847,354,1.7062,2,5.190677966,0.22472,2.560141243,TRUE,FALSE,FALSE,FALSE,FALSE,77400
-117.89,33.61,44,2126,423,745,332,5.1923,4,6.723795181,0.210903104,2.401054217,FALSE,TRUE,FALSE,FALSE,FALSE,500001
-117.89,33.88,27,2091,336,1037,332,5.7519,4,6.61310241,0.170329986,3.342138554,FALSE,TRUE,FALSE,FALSE,FALSE,243400
-117.02,32.73,22,5201,865,3280,817,4.7952,4,6.684271726,0.176293021,4.295716034,FALSE,FALSE,FALSE,FALSE,TRUE,141400
-117.99,33.69,17,3386,729,1715,666,3.7479,3,5.338288288,0.228216184,2.75533033,FALSE,TRUE,FALSE,FALSE,FALSE,213000
-117.26,32.95,15,1036,149,395,157,5.8343,4,6.92866242,0.152451737,2.692038217,FALSE,FALSE,FALSE,FALSE,TRUE,500001
-118.72,34.29,22,3266,529,1595,494,6.0368,5,6.941902834,0.171690141,3.454757085,FALSE,TRUE,FALSE,FALSE,FALSE,248000
-122.14,37.47,36,2081,412,1931,373,3.7917,3,5.858042895,0.209860644,5.539329759,FALSE,FALSE,FALSE,TRUE,FALSE,160600
-121.37,38.39,15,1883,254,893,256,6.2575,5,7.723242188,0.142984599,3.732460938,TRUE,FALSE,FALSE,FALSE,FALSE,143500
-118.34,34.09,37,1442,501,998,503,2.4432,2,3.010139165,0.368280166,2.122982107,FALSE,TRUE,FALSE,FALSE,FALSE,200000
-118.28,33.99,52,1283,342,1363,329,2.5848,2,4.094680851,0.282556508,4.432857143,FALSE,TRUE,FALSE,FALSE,FALSE,101900
-117.27,33.03,19,2899,499,1356,512,4.87,4,5.945214844,0.182456019,2.833828125,FALSE,FALSE,FALSE,FALSE,TRUE,220900
-117.17,34.28,13,4867,718,780,250,7.1997,5,20.4414,0.156375591,3.3384,TRUE,FALSE,FALSE,FALSE,FALSE,253800
-118.33,34,24,873,320,529,308,0.9304,1,2.976136364,0.388545246,1.83775974,FALSE,TRUE,FALSE,FALSE,FALSE,151600
-122.34,37.95,44,1788,368,933,329,2.875,2,5.706382979,0.218165548,3.0343769,FALSE,FALSE,FALSE,TRUE,FALSE,133400
-121.45,36.86,11,1613,335,1617,342,3.1375,3,4.952192982,0.220148791,5.059035088,TRUE,FALSE,FALSE,FALSE,FALSE,146200
-118.37,33.87,13,2907,726,1573,694,3.5048,3,4.398198847,0.264726522,2.425230548,FALSE,TRUE,FALSE,FALSE,FALSE,294000
-118.25,33.93,42,819,233,899,228,1.1346,1,3.771710526,0.301562882,4.218991228,FALSE,TRUE,FALSE,FALSE,FALSE,85400
-117.14,33.39,17,2889,587,1931,510,3.8547,3,5.947941176,0.215375562,4.051313725,FALSE,TRUE,FALSE,FALSE,FALSE,208300
-122.31,37.56,45,1685,321,815,314,4.2955,3,5.63455414,0.201934718,2.777229299,FALSE,FALSE,FALSE,FALSE,TRUE,309700
-118.22,33.92,23,926,409,1856,408,2.1366,2,2.383088235,0.468185745,4.86745098,FALSE,TRUE,FALSE,FALSE,FALSE,100000
-122.13,37.47,25,1630,353,1546,371,5.0893,4,4.613207547,0.229558282,4.458814016,FALSE,FALSE,FALSE,TRUE,FALSE,173400
-118.27,33.92,36,1465,346,1147,324,1.7262,2,4.747685185,0.250348123,3.787932099,FALSE,TRUE,FALSE,FALSE,FALSE,88800
-122.68,38.43,29,488,63,161,62,6.0774,5,8.264516129,0.136844262,2.778548387,FALSE,TRUE,FALSE,FALSE,FALSE,334400
-118.26,33.94,41,1510,410,1408,389,1.65,2,4.075835476,0.28781457,3.872904884,FALSE,TRUE,FALSE,FALSE,FALSE,94200
-121.71,38.72,32,710,155,550,154,2.8882,2,4.840909091,0.231408451,3.821428571,TRUE,FALSE,FALSE,FALSE,FALSE,151400
-117.66,34.12,22,2272,278,933,305,8.8204,5,7.821639344,0.129700704,3.273147541,TRUE,FALSE,FALSE,FALSE,FALSE,390500
-122.04,37,52,3365,644,796,333,2.9712,2,10.61036036,0.202864785,2.557717718,FALSE,FALSE,FALSE,FALSE,TRUE,116600
-118.21,34.07,31,1453,404,1486,389,2.3859,2,3.921979434,0.294728149,4.087455013,FALSE,TRUE,FALSE,FALSE,FALSE,153100
-121.78,37.69,34,2358,498,1157,461,3.3618,3,5.370715835,0.223867684,2.685444685,TRUE,FALSE,FALSE,FALSE,FALSE,174600
-120.06,37.02,13,6301,1080,3840,1033,3.5258,3,6.404695063,0.181685447,3.977541142,TRUE,FALSE,FALSE,FALSE,FALSE,84900
-116.97,32.81,19,1573,471,844,414,2.1422,2,3.989492754,0.317393516,2.181352657,FALSE,TRUE,FALSE,FALSE,FALSE,125000
-117.22,33.22,15,1430,343,704,322,1.9571,2,4.663043478,0.254251748,2.339378882,FALSE,TRUE,FALSE,FALSE,FALSE,162500
-122.25,37.48,45,2743,390,974,400,7.1621,5,7.200375,0.1507109,2.60545,FALSE,FALSE,FALSE,FALSE,TRUE,500001
-118.27,33.98,45,1696,424,1502,429,1.3042,1,4.151048951,0.265,3.746247086,FALSE,TRUE,FALSE,FALSE,FALSE,99200
-122.07,37.37,22,3770,727,1657,762,4.8021,4,5.19488189,0.204408488,2.32675853,FALSE,FALSE,FALSE,TRUE,FALSE,457500
